
author_number_beds,author_number_icu_beds,author_number_ventilators,city_id,city_name,country_iso,country_name,data_last_refreshed,female,female-0-19,female-20-29,female-30-39,female-40-49,female-50-59,female-60-69,female-70-79,female-80>,health_region_id,health_region_name,last_updated_number_beds,last_updated_number_covid_icu_beds,last_updated_number_icu_beds,last_updated_number_ventilators,male,male-0-19,male-20-29,male-30-39,male-40-49,male-50-59,male-60-69,male-70-79,male-80>,number_beds,number_covid_icu_beds,number_icu_beds,number_ventilators,population,state_id,state_name,state_num_id
DataSUS,DataSUS,DataSUS,2700904,Belo Monte,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27007,7ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,6704,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2701001,Boca da Mata,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27005,5ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,7,0,0,0,27281,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2701100,Branquinha,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27003,3ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,10494,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2701209,Cacimbinhas,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27008,8ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,10858,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2701308,Cajueiro,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27004,4ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,12,0,0,0,21264,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2701357,Campestre,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27003,3ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,6936,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2701407,Campo Alegre,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27005,5ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,70,0,0,6,57063,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2701506,Campo Grande,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27007,7ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,9558,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2701605,Canapi,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27009,9ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,17722,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2701704,Capela,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27004,4ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,54,0,0,1,17053,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2701803,Carneiros,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27009,9ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,9081,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2701902,Chã Preta,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27004,4ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,7311,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2702009,Coité do Nóia,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27007,7ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,10693,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2702108,Colônia Leopoldina,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27003,3ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,18,0,0,0,21698,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2702207,Coqueiro Seco,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27001,1ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,5845,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2702306,Coruripe,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27006,6ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,224,15,10,42,56933,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2702355,Craíbas,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27007,7ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,5,0,0,0,24219,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2702405,Delmiro Gouveia,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27010,10ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,20,0,0,1,52016,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2702504,Dois Riachos,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27009,9ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,11075,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2702553,Estrela de Alagoas,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27008,8ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,18205,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2702603,Feira Grande,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27007,7ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,22166,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2702702,Feliz Deserto,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27006,6ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,4754,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2702801,Flexeiras,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27001,1ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,8,0,0,0,12790,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2702900,Girau do Ponciano,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27007,7ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,36,10,0,10,40917,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2703007,Ibateguara,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27003,3ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,15616,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2703106,Igaci,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27008,8ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,14,0,0,0,25631,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2703205,Igreja Nova,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27006,6ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,2,24499,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2703304,Inhapi,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27010,10ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,18385,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2703403,Jacaré dos Homens,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27007,7ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,5253,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2703502,Jacuípe,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27002,2ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,7021,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2703601,Japaratinga,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27002,2ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,8361,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2703700,Jaramataia,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27007,7ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,5770,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2703759,Jequiá da Praia,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27006,6ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,11580,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2703809,Joaquim Gomes,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27003,3ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,27,0,0,0,23993,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2703908,Jundiá,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27003,3ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,4155,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2704005,Junqueiro,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27005,5ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,15,0,0,0,24727,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2704104,Lagoa da Canoa,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27007,7ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,17852,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2704203,Limoeiro de Anadia,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27007,7ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,9,0,0,0,28635,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2704302,Maceió,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27001,1ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,2039,166,164,480,1018948,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2704401,Major Isidoro,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27007,7ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,21,0,0,0,19804,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2704500,Maragogi,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27002,2ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,8,0,0,3,32704,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2704609,Maravilha,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27009,9ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,9163,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2704708,Marechal Deodoro,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27001,1ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,16,0,0,2,51901,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2704807,Maribondo,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27008,8ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,13264,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2704906,Mar Vermelho,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27004,4ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,3514,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2705002,Mata Grande,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27010,10ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,16,0,0,0,25216,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2705101,Matriz de Camaragibe,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27002,2ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,13,0,0,0,24642,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2705200,Messias,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27001,1ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,17856,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2705309,Minador do Negrão,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27008,8ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,5329,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2705408,Monteirópolis,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27009,9ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,7159,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2705507,Murici,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27003,3ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,41,0,0,0,28236,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2705606,Novo Lino,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27003,3ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,12690,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2705705,Olho d'Água das Flores,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27009,9ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,22,0,0,0,21688,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2705804,Olho d'Água do Casado,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27010,10ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,9373,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2705903,Olho d'Água Grande,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27007,7ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,5123,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2706000,Olivença,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27009,9ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,11624,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2706109,Ouro Branco,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27009,9ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,11496,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2706208,Palestina,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27009,9ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,5011,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2706307,Palmeira dos Índios,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27008,8ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,83,6,8,24,73218,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2706406,Pão de Açúcar,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27009,9ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,28,0,0,1,24399,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2706422,Pariconha,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27010,10ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,10533,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2706448,Paripueira,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27001,1ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,13176,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2706505,Passo de Camaragibe,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27002,2ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,15245,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2706604,Paulo Jacinto,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27004,4ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,9,0,0,0,7564,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2706703,Penedo,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27006,6ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,64,7,0,9,63683,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2706802,Piaçabuçu,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27006,6ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,11,0,0,0,17827,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2706901,Pilar,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27001,1ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,30,0,0,0,35111,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2707008,Pindoba,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27004,4ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,2908,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2707107,Piranhas,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27010,10ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,24,0,0,0,25039,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2707206,Poço das Trincheiras,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27009,9ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,0,0,0,0,14386,AL,Alagoas,27
DataSUS,DataSUS,DataSUS,2707305,Porto Calvo,BR,Brasil,2020-08-26 20:05:07,,,,,,,,,,27002,2ª Região de Saúde,2020-06-01,2020-06-01,2020-06-01,2020-06-01,,,,,,,,,,72,10,0,15,27165,AL,Alagoas,27
